cluster_labels	anomaly_score
regular	0.07031621684488404
regular	0.08077423738138018
regular	0.07266043290632768
regular	0.06001132905382839
regular	0.08491537467292265
regular	0.06916897790605803
regular	0.07393064603968913
regular	0.09006009411020921
regular	0.04074611461210392
regular	0.042526346034515494
regular	0.07896934345207429
regular	0.042657188479027885
regular	0.06613310644774034
regular	0.08368919508239403
regular	0.0856825972990729
regular	0.07199791215470797
regular	0.06240698988930765
regular	0.08546923870732981
regular	0.0803033219873614
regular	0.08335179807447146
regular	0.013532910829859635
regular	0.03625744304693501
regular	0.07367851809839959
regular	0.08736300456937784
regular	0.07214824239924966
regular	0.07749974878001442
regular	0.0666606788413937
regular	0.06726609653538668
regular	0.07463532089977343
regular	0.08117074318983453
regular	0.08260414720783998
regular	0.07798662939103684
regular	0.06639862306633476
regular	0.07605630222454479
regular	0.07618105255197316
regular	0.07795092867643333
regular	0.08037063703481317
regular	0.06290528870850631
regular	0.06616936851703176
regular	0.06241956272668314
regular	0.07097692520623833
regular	0.07835214861694301
regular	0.07381490548716563
regular	0.06432420823000923
regular	0.06165328977992718
regular	0.08346379156440475
regular	0.07562239998234616
regular	0.07991087647703299
regular	0.0912435294199731
regular	0.08002047765968706
regular	0.03480827735920694
regular	0.04102405005823845
regular	0.04638020314079061
regular	0.02398218379756556
regular	0.05363664714145039
regular	0.07060430071733809
regular	0.0671213558588386
regular	0.04521633121169716
regular	0.03661231035644419
regular	0.0816496541925153
regular	0.03682020315392942
regular	0.08807025029600213
regular	0.0725518363998846
regular	0.054669675524781136
regular	0.08211542971219798
regular	0.05012972373666402
regular	0.08794941227230191
regular	0.06582775472631708
regular	0.06357759975627836
regular	0.06629757694090088
regular	0.06987579425445495
regular	0.07124555669890187
regular	0.058906775153791335
regular	0.030570417587081622
regular	0.028010298254755817
regular	0.03632062267297714
regular	0.05378607917804451
anomalies	-0.05022974347279713
regular	0.06544344469355662
regular	0.07976513758889042
regular	0.07020770160982842
regular	0.09269385541413727
regular	0.06643743893856291
regular	0.09036624203822069
regular	0.07912307962728671
regular	0.07656179304668254
regular	0.07474071779201497
regular	0.015856908268263692
regular	0.08909253774217679
regular	0.06521621061959859
regular	0.07071294022060803
regular	0.05571094925898379
regular	0.048395918288998974
regular	0.06545502548851978
regular	0.05423459702085354
regular	0.0818290239779807
regular	0.07869610128689392
regular	0.09751806684868491
regular	0.05635042353567532
regular	0.08650147229422567
regular	0.06941659383041926
regular	0.09066072105255346
regular	0.07689172970573471
regular	0.08070698564252121
regular	0.07372954673380705
regular	0.04252991940971168
regular	0.03439752317619765
regular	0.09610326728256441
regular	0.07764380910460661
regular	0.06290125330905294
anomalies	-0.00862222527961859
regular	0.06819268340795165
regular	0.040089032555952864
regular	0.04980957974614375
regular	0.06514963928181139
