prediction	error	relative_error	error_decile	abs_error_decile
245129.19332413998	-38129.19332413998	-0.18419900156589364	3	4
138221.2425283917	-48221.24252839171	-0.5357915836487968	3	5
90340.1489826258	-42340.148982625804	-0.8820864371380376	3	4
82209.24715460568	-57209.24715460568	-2.288369886184227	2	6
55564.14912371762	-45964.14912371762	-4.787932200387252	3	4
15694.066765035532	6305.933234964468	0.2866333288620213	6	0
70480.91348713251	-46480.91348713251	-1.9367047286305212	3	5
1435331.5491524881	55544.138983364435	0.04311230056500792	9	5
72199.97740810929	41218.02259189071	0.36341694080208353	9	4
125648.93450013887	-52648.93450013887	-0.7212182808238201	2	5
88593.57608560199	-56493.57608560199	-1.7599244886480372	2	6
104803.42753768413	-54803.427537684125	-1.0960685507536825	2	5
61084.53852256929	-41084.53852256929	-2.0542269261284645	3	4
58320.47413050267	-40320.47413050267	-2.2400263405834817	3	4
3970093.255146256	55544.138983364435	0.07373475486131868	9	5
47610.026355984475	-46710.026355984475	-51.9000292844272	3	5
80390.8045427304	-45390.8045427304	-1.2968801297922972	3	4
169936.6551435309	-35001.655143530894	-0.25939641415148695	3	3
176234.79196475347	-36434.79196475347	-0.26062082950467436	3	3
78208.48610274242	-38208.48610274242	-0.9552121525685605	3	4
135520.11825745855	-37520.118257458555	-0.38285834956590364	3	4
3096.9841586433467	1903.0158413566533	0.38060316827133067	6	0
214487.6786526441	-63587.6786526441	-0.42138952056092843	1	6
101938.81421621394	-52938.81421621394	-1.080383963596203	2	5
104481.14973216422	-49481.149732164224	-0.8996572678575313	2	5
1672292.1142935932	9707.885706406785	0.005771632405711525	6	1
42689.85244580354	-38769.85244580354	-9.890268481072331	3	4
240567.2714988715	-40567.2714988715	-0.2028363574943575	3	4
67692.3752864423	-58592.3752864423	-6.438722558949704	2	6
29168.97697404842	-9368.976974048419	-0.47318065525497066	5	1
198059.75722650145	-33059.757226501446	-0.20036216500909967	4	3
71270.98542904887	-46270.98542904887	-1.8508394171619549	3	4
45471.0964593221	-43671.0964593221	-24.261720255178943	3	4
69335.73143429442	-57335.731434294416	-4.777977619524535	2	6
236819.06286281053	-27950.062862810533	-0.13381623344206434	4	3
48581.494749782796	-40281.494749782796	-4.853192138528048	3	4
55511.67684028893	-40511.67684028893	-2.700778456019262	3	4
137274.43853915035	-37274.438539150346	-0.37274438539150345	3	4
100149.38227980514	-55149.38227980514	-1.2255418284401143	2	5
215970.8732943252	-40970.873294325196	-0.23411927596757254	3	4
103653.36186195431	-42853.36186195431	-0.7048250306242485	3	4
197585.2794978465	-37585.279497846495	-0.2349079968615406	3	4
79860.01752158557	-49860.01752158557	-1.6620005840528524	2	5
77226.60454998357	-52226.604549983575	-2.089064181999343	2	5
122761.38258486878	-52761.382584868785	-0.7537340369266969	2	5
203103.96815822698	-83103.96815822698	-0.6925330679852248	0	8
185350.8834334061	-35350.883433406096	-0.2356725562227073	3	3
59223.706364035184	-56223.706364035184	-18.741235454678396	2	6
121872.87533558405	-39867.875335584045	-0.48616395750971336	3	4
64431.27651785896	-47931.27651785896	-2.90492584956721	3	5
67455.96908211487	-44455.96908211487	-1.932868220961516	3	4
59370.09653317751	-56170.09653317751	-17.55315516661797	2	6
46104.13734639394	-44004.13734639394	-20.954351117330447	3	4
134335.95989962548	-48335.95989962548	-0.5620460453444823	3	5
69007.3208132626	-53007.3208132626	-3.3129575508289126	2	5
142014.61343978348	-43296.61343978348	-0.4385888433698361	3	4
44115.22000894995	-41579.22000894995	-16.395591486179004	3	4
52897.77463751385	-42897.77463751385	-4.289777463751385	3	4
81252.07408527298	-76252.07408527298	-15.250414817054596	1	8
16045326.489404999	55544.138983364435	0.08526061364537643	9	5
139757.68872001895	-47757.68872001895	-0.519105312174119	3	5
77379.98865088198	-43379.988650881976	-1.2758820191435876	3	4
48401.48326168484	-46401.48326168484	-23.200741630842423	3	4
53064.65849667914	-46964.65849667914	-7.699124343717892	3	5
2068026.7336612823	55544.138983364435	0.059987848335780754	9	5
428831.214798841	-8831.214798840985	-0.021026701902002346	5	0
55368.29442175249	-52306.29442175249	-17.082395304295392	2	5
248500.91436726003	-38500.91436726003	-0.18333768746314302	3	4
721495.7631930048	-19283.763193004765	-0.0274614549352685	4	2
47930.46910231009	-46430.46910231009	-30.953646068206726	3	4
411654.33172316593	-11654.331723165931	-0.029135829307914828	5	1
7792138.570638475	55544.138983364435	0.07666291974818716	9	5
81805.56597767658	-77805.56597767658	-19.451391494419145	1	8
178558.110934367	-28558.110934366996	-0.1903874062291133	4	3
63853.49540913335	-46853.49540913335	-2.7560879652431383	3	5
83569.06179782448	-53569.061797824485	-1.7856353932608162	2	5
44341.81274911194	-42541.81274911194	-23.6343404161733	3	4
138047.65829649643	-38047.65829649643	-0.38047658296496434	3	4
42741.57067267319	-41641.57067267319	-37.85597333879381	3	4
5874053.161702639	55544.138983364435	0.08058544581769721	9	5
144328.65656547708	-36328.65656547708	-0.33637644968034336	3	3
24461.512478158053	-6461.5124781580525	-0.3589729154532251	5	0
112829.46305295215	-85829.46305295215	-3.178869001961191	0	9
68338.1539700273	-46338.1539700273	-2.1062797259103316	3	4
70895.15001563905	-55895.150015639054	-3.726343334375937	2	6
43614.35724925241	-23102.35724925241	-1.126284967299747	4	2
89153.43685232091	-44153.43685232091	-0.9811874856071314	3	4
57716.017981499375	-53016.017981499375	-11.280003825850931	2	5
77380.91903795957	-45380.91903795957	-1.4181537199362364	3	4
-266.07671858140384	1866.0767185814038	1.1662979491133774	6	0
71016.97063863899	-46016.97063863899	-1.8406788255455595	3	4
204226.0574074039	-27883.05740740389	-0.1581183115145137	4	3
88147.39320437137	-56147.39320437137	-1.7546060376366053	2	6
71792.41210809328	-56792.41210809328	-3.786160807206219	2	6
88995.37140180622	-54995.37140180622	-1.6175109235825358	2	5
50789.70154595692	-45989.70154595692	-9.581187822074359	3	4
98188.8563940769	-44188.856394076895	-0.8183121554458684	3	4
182009.03938334028	-44209.03938334028	-0.3208203148283039	3	4
94539.44155984728	-44539.441559847284	-0.8907888311969456	3	4
297336.51771972334	-22336.517719723342	-0.08122370079899398	4	2
68915.25221540174	-54915.252215401735	-3.922518015385838	2	5
42323.940808638785	-41523.940808638785	-51.904926010798484	3	4
93307.10145319869	-38307.10145319869	-0.6964927536945216	3	4
103512.0260153796	-43512.0260153796	-0.7252004335896599	3	4
59902.32715840574	-44902.32715840574	-2.993488477227049	3	4
1525357.9642448688	55544.138983364435	0.04665127234695698	9	5
107441.5216108507	-42041.5216108507	-0.6428367218784511	3	4
122161.83803314745	46838.16196685255	0.2771488873778258	9	5
147779.10075943632	-37779.10075943632	-0.34344637054033017	3	4
94336.01338985875	-69336.01338985875	-2.77344053559435	1	7
2153560.5397776314	46439.460222368594	0.021108845555622088	9	4
137324.5891841467	-38824.589184146695	-0.39415826582890046	3	4
56176.17512475015	-49376.17512475015	-7.261202224227963	2	5
168594.84883526876	-36594.84883526876	-0.2772337032974906	3	3
56096.26079000386	-51796.26079000386	-12.045642044186943	2	5
123232.62934101294	-53232.629341012944	-0.760466133443042	2	5
238264.03005000314	-28264.030050003144	-0.13459061928572927	4	3
304601.627497622	-54601.62749762199	-0.21840650999048794	2	5
81501.47800413951	-56501.47800413951	-2.2600591201655806	2	6
124863.71597525351	-49863.71597525351	-0.6648495463367134	2	5
57101.64200028143	-45101.64200028143	-3.758470166690119	3	4
53326.14304565024	-52026.14304565024	-40.02011003511557	2	5
64328.3214712662	-44328.3214712662	-2.2164160735633103	3	4
123987.10090536432	-85287.10090536432	-2.2038010569861584	0	9
219153.95161907497	-42070.95161907497	-0.2375775857596436	3	4
201666.54292602776	-26666.54292602776	-0.1523802452915872	4	2
194607.7796799454	-44607.77967994541	-0.29738519786630274	3	4
135744.85829094343	-50744.85829094343	-0.5969983328346287	2	5
69209.27058710503	-58709.27058710503	-5.591359103533812	2	6
92279.37247432063	-42279.372474320626	-0.8455874494864125	3	4
52782.110258509885	-50782.110258509885	-25.391055129254944	2	5
106348.77753743387	-41848.77753743387	-0.6488182563943236	3	4
97984.08549947213	-55684.08549947213	-1.3164086406494593	2	5
74145.60788974882	-44145.60788974882	-1.4715202629916273	3	4
57508.633993663825	-52508.633993663825	-10.501726798732765	2	5
8764.926617953693	1235.0733820463065	0.12350733820463065	6	0
117779.8699497069	-71779.8699497069	-1.560431955428411	1	7
97598.6278137811	-53598.6278137811	-1.2181506321313886	2	5
148310.68523125592	-48310.68523125592	-0.4831068523125592	3	5
56214.8729592156	-47814.8729592156	-5.6922467808590005	3	5
458829.6702110354	-48124.67021103541	-0.11717575927012189	3	5
60279.855033697386	-54279.855033697386	-9.046642505616232	2	5
195461.7008360225	-45461.7008360225	-0.30307800557348336	3	4
66310.00112269708	-54310.00112269708	-4.525833426891423	2	5
1140835.1287663295	54164.87123367051	0.04532625207838536	9	5
24732.966488659586	-4732.966488659586	-0.23664832443297928	5	0
1211696.8832409144	28303.116759085562	0.022825094160552874	8	3
52830.54944493064	-42830.54944493064	-4.283054944493064	3	4
66907.11907600386	-46907.11907600386	-2.345355953800193	3	5
68170.82749246371	-44670.82749246371	-1.9008862762750514	3	4
44817.51049970585	-40017.51049970585	-8.336981354105387	3	4
191862.65122440623	-33862.65122440623	-0.2143205773696597	3	3
75728.73332898694	-54728.73332898694	-2.6061301585231877	2	5
15694.066765035532	6305.933234964468	0.2866333288620213	6	0
281162.41834405216	-31162.41834405216	-0.12464967337620864	4	3
70979.26410756538	-50979.26410756538	-2.548963205378269	2	5
260455.92440307117	-35455.92440307117	-0.15758188623587188	3	3
7508114.0625498425	55544.138983364435	0.08437633383538506	9	5
70480.91348713251	-46480.91348713251	-1.9367047286305212	3	5
21116.210495315463	-8216.210495315463	-0.6369155422725166	5	0
378840.5244804828	-18840.524480482796	-0.05233479022356332	4	2
228890.61118079844	-28890.61118079844	-0.1444530559039922	4	3
54996.37812642765	-44996.37812642765	-4.4996378126427645	3	4
3970093.255146256	55544.138983364435	0.07373475486131868	9	5
78208.48610274242	-38208.48610274242	-0.9552121525685605	3	4
135520.11825745855	-37520.118257458555	-0.38285834956590364	3	4
50177.28414658779	-42177.28414658779	-5.272160518323473	3	4
214487.6786526441	-63587.6786526441	-0.42138952056092843	1	6
96569.98370836425	-41569.98370836425	-0.7558178856066227	3	4
1970147.4290555788	55544.138983364435	0.05176520717351939	9	5
102832.52259624141	-52832.52259624141	-1.0566504519248283	2	5
49328.11546460146	-45528.11546460146	-11.981083017000385	3	4
275925.88892315084	-65925.88892315084	-0.3139328043959564	1	7
128243.38032980217	-38243.38032980217	-0.42492644810891295	3	4
60437.256881097404	-48437.256881097404	-4.036438073424784	2	5
1778127.676263576	20809.323736424092	0.011567566699903383	7	2
1644837.4163938153	6911.583606184693	0.0041844030819359924	6	0
119149.68054008027	-39149.68054008027	-0.48937100675100337	3	4
805648.8597735192	-10648.859773519216	-0.0133947921679487	5	1
