prediction	error	relative_error	error_decile	abs_error_decile
54827.70963561523	-32927.70963561523	-1.5035483851879101	4	3
54827.70963561523	-32927.70963561523	-1.5035483851879101	4	3
356022.99772928446	-70122.99772928446	-0.2452710658596868	1	7
356022.99772928446	-70122.99772928446	-0.2452710658596868	1	7
5231.852056211588	-4731.852056211588	-9.463704112423176	6	0
5231.852056211588	-4731.852056211588	-9.463704112423176	6	0
60380.27745142534	-30380.27745142534	-1.0126759150475113	4	3
60380.27745142534	-30380.27745142534	-1.0126759150475113	4	3
26392.396195287845	1607.6038047121547	0.057414421596862664	6	0
26392.396195287845	1607.6038047121547	0.057414421596862664	6	0
174004.02138145067	-94004.02138145067	-1.1750502672681333	0	9
174004.02138145067	-94004.02138145067	-1.1750502672681333	0	9
45584.16541762164	-40584.16541762164	-8.116833083524329	3	4
45584.16541762164	-40584.16541762164	-8.116833083524329	3	4
66203.12856988737	-36203.12856988737	-1.2067709523295789	4	3
66203.12856988737	-36203.12856988737	-1.2067709523295789	4	3
-768.0033376342035	4768.0033376342035	1.1920008344085509	6	0
-768.0033376342035	4768.0033376342035	1.1920008344085509	6	0
12935.299557182414	-3935.299557182414	-0.43725550635360155	6	0
12935.299557182414	-3935.299557182414	-0.43725550635360155	6	0
36348.33370944827	-32348.33370944827	-8.087083427362067	4	3
36348.33370944827	-32348.33370944827	-8.087083427362067	4	3
24288.688789346925	-23288.688789346925	-23.288688789346924	4	2
24288.688789346925	-23288.688789346925	-23.288688789346924	4	2
26560.47849603594	1619.5215039640607	0.05747059985678001	6	0
26560.47849603594	1619.5215039640607	0.05747059985678001	6	0
19147.71707103777	852.2829289622314	0.04261414644811157	6	0
19147.71707103777	852.2829289622314	0.04261414644811157	6	0
1166.4041751901095	4033.5958248098905	0.7756915047711328	6	0
1166.4041751901095	4033.5958248098905	0.7756915047711328	6	0
47268.09225682364	-33716.09225682364	-2.487905272788049	4	3
47268.09225682364	-33716.09225682364	-2.487905272788049	4	3
45136.68833347081	-33936.68833347081	-3.030061458345608	4	3
45136.68833347081	-33936.68833347081	-3.030061458345608	4	3
939409.8069657688	51094.067895339365	0.060590193034231195	9	5
939409.8069657688	51094.067895339365	0.060590193034231195	9	5
10085.871456477558	-85.87145647755824	-0.008587145647755824	6	0
10085.871456477558	-85.87145647755824	-0.008587145647755824	6	0
92857.93340782948	-42857.93340782948	-0.8571586681565896	3	4
92857.93340782948	-42857.93340782948	-0.8571586681565896	3	4
-59.38450253327028	1659.3845025332703	1.0371153140832938	6	0
-59.38450253327028	1659.3845025332703	1.0371153140832938	6	0
10992.551100513956	7.448899486043956	0.0006771726805494505	6	0
10992.551100513956	7.448899486043956	0.0006771726805494505	6	0
19935.909141355805	-11435.909141355805	-1.345401075453624	5	1
19935.909141355805	-11435.909141355805	-1.345401075453624	5	1
-35647.97410229483	43547.97410229483	5.512401785100611	9	4
-35647.97410229483	43547.97410229483	5.512401785100611	9	4
14728.200234050135	-9728.200234050135	-1.945640046810027	5	1
14728.200234050135	-9728.200234050135	-1.945640046810027	5	1
5556.058785635512	-556.0587856355123	-0.11121175712710246	6	0
5556.058785635512	-556.0587856355123	-0.11121175712710246	6	0
4029.7493588828947	-2965.7493588828947	-2.787358420002721	6	0
4029.7493588828947	-2965.7493588828947	-2.787358420002721	6	0
714.5318566034548	1733.4681433965452	0.7081160716489155	6	0
714.5318566034548	1733.4681433965452	0.7081160716489155	6	0
-676.4963039455761	1589.496303945576	1.7409598071693058	6	0
-676.4963039455761	1589.496303945576	1.7409598071693058	6	0
18018.04874860015	-1518.0487486001512	-0.09200295446061522	6	0
18018.04874860015	-1518.0487486001512	-0.09200295446061522	6	0
4696.769981088961	-2896.769981088961	-1.6093166561605337	6	0
4696.769981088961	-2896.769981088961	-1.6093166561605337	6	0
16658.867604725237	-1658.8676047252375	-0.11059117364834917	6	0
16658.867604725237	-1658.8676047252375	-0.11059117364834917	6	0
66820.48814820811	-41820.48814820811	-1.6728195259283245	3	4
66820.48814820811	-41820.48814820811	-1.6728195259283245	3	4
12632850.669990055	51094.067895339365	0.09059229755108827	9	5
12632850.669990055	51094.067895339365	0.09059229755108827	9	5
27533.50752473061	-533.5075247306086	-0.019759537952985504	6	0
27533.50752473061	-533.5075247306086	-0.019759537952985504	6	0
9409.341929290531	-2409.341929290531	-0.34419170418436157	6	0
9409.341929290531	-2409.341929290531	-0.34419170418436157	6	0
1487.3820864163572	1812.6179135836428	0.5492781556314069	6	0
15818.086158902966	-11868.086158902966	-3.004578774405814	5	1
1487.3820864163572	1812.6179135836428	0.5492781556314069	6	0
15818.086158902966	-11868.086158902966	-3.004578774405814	5	1
373.212543753878	2626.787456246122	0.8755958187487073	6	0
373.212543753878	2626.787456246122	0.8755958187487073	6	0
-51695.27017773801	51094.067895339365	44.07939181478168	9	5
-51695.27017773801	51094.067895339365	44.07939181478168	9	5
4428.5673114459205	-678.5673114459205	-0.18095128305224548	6	0
