prediction	error	relative_error	error_decile	abs_error_decile
235468.68434441907	-26599.684344419074	-0.12735103985952476	4	2
46536.91511403359	-38236.91511403359	-4.606857242654649	3	3
53828.41009867957	-38828.41009867957	-2.5885606732453046	3	4
136032.63391282584	-36032.63391282584	-0.3603263391282584	4	3
98437.70593773086	-53437.70593773086	-1.187504576394019	2	5
214549.06490397447	-39549.064903974475	-0.22599465659413986	3	4
102144.51668737877	-41344.51668737877	-0.680008498147677	3	4
195738.66953998563	-35738.669539985625	-0.22336668462491016	4	3
77985.88506823323	-47985.88506823323	-1.599529502274441	3	4
75090.34816880757	-50090.34816880757	-2.003613926752303	3	5
121058.78491467696	-51058.78491467696	-0.7294112130668137	3	5
168982.1471009498	-11982.147100949805	-0.0763194082863045	5	1
183734.16061175326	-33734.160611753265	-0.2248944040783551	4	3
57901.57645247587	-54901.57645247587	-18.300525484158623	2	5
120504.0195826133	-38499.0195826133	-0.4694716124945223	3	3
62789.710296996054	-46289.710296996054	-2.8054369876967304	3	4
66210.11215031758	-43210.11215031758	-1.8787005282746774	3	4
58052.794260267576	-54852.794260267576	-17.14149820633362	2	5
46332.84106388471	-45432.84106388471	-50.48093451542746	3	4
133038.40220958093	-47038.402209580934	-0.5469581652276853	3	4
66878.67753929918	-50878.677539299184	-3.179917346206199	3	5
140165.36151477683	-41447.36151477683	-0.4198561712633646	3	4
42444.379255399734	-39908.379255399734	-15.73674260859611	3	4
51554.24770807318	-41554.24770807318	-4.1554247708073175	3	4
81562.30808874487	-76562.30808874487	-15.312461617748975	1	7
16048109.937407443	51385.32861405941	0.08510193008606166	9	5
138463.01976960665	-46463.019769606646	-0.505032823582681	3	4
76141.60731782686	-42141.607317826856	-1.2394590387596134	3	4
47156.32431684229	-45156.32431684229	-22.578162158421147	3	4
51689.413106156804	-45589.413106156804	-7.473674279697836	3	4
2068935.4963337446	51385.32861405941	0.05957477439375245	9	5
427413.0375339402	-7413.0375339402235	-0.017650089366524343	6	0
53501.85853067186	-50439.85853067186	-16.472847332028692	3	5
246971.48088802464	-36971.48088802464	-0.17605467089535543	4	3
722021.5920194113	-19809.59201941127	-0.028210272708827634	5	2
46687.715719722604	-45187.715719722604	-30.1251438131484	3	4
410103.1163057988	-10103.116305798816	-0.02525779076449704	5	1
7793196.658146315	51385.32861405941	0.07653754063418866	9	5
83412.87011920131	-79412.87011920131	-19.85321752980033	1	8
176794.1091922428	-26794.109192242788	-0.17862739461495192	4	2
62354.05081895682	-45354.05081895682	-2.667885342291578	3	4
82267.15543756266	-52267.15543756266	-1.742238514585422	2	5
42547.744426710284	-40747.744426710284	-22.637635792616823	3	4
136699.30162473937	-36699.30162473937	-0.36699301624739367	4	3
41080.51831897948	-39980.51831897948	-36.345925744526795	3	4
5875396.104359135	51385.32861405941	0.08037524666051825	9	5
143114.78519059528	-35114.785190595285	-0.32513689991291933	4	3
28675.959697859536	-10675.959697859536	-0.5931088721033075	5	1
112827.66919548373	-85827.66919548373	-3.1788025627956937	0	8
66845.72600827728	-44845.726008277285	-2.038442091285331	3	4
69464.69858082407	-54464.69858082407	-3.6309799053882714	2	5
60274.3142727674	-60273.3142727674	-60273.3142727674	2	6
87667.67420078546	-42667.67420078546	-0.9481705377952325	3	4
55730.81394373144	-51030.81394373144	-10.857619988027965	3	5
75892.40298163547	-43892.402981635474	-1.3716375931761087	3	4
4016.4932580702007	-2416.4932580702007	-1.5103082862938755	6	0
69530.40332342972	-44530.403323429724	-1.781216132937189	3	4
202217.89499013446	-25874.89499013446	-0.14673049108915273	4	2
86464.58529852192	-54464.585298521924	-1.7020182905788102	2	5
70238.31521500878	-55238.315215008784	-3.6825543476672524	2	5
87445.71602211332	-53445.71602211332	-1.5719328241798036	2	5
49565.447941743536	-44765.447941743536	-9.326134987863236	3	4
96583.01462737826	-42583.01462737826	-0.7885743449514493	3	4
180617.15434595593	-42817.15434595593	-0.3107195525831345	3	4
92936.48728332268	-42936.487283322684	-0.8587297456664537	3	4
295913.2393461592	-20913.239346159215	-0.0760481430769426	5	2
67632.6334912552	-53632.6334912552	-3.830902392232514	2	5
40682.93814947468	-39882.93814947468	-49.853672686843346	3	4
91415.63996320844	-36415.639963208436	-0.6621025447856079	4	3
101922.65474713346	-41922.65474713346	-0.6987109124522244	3	4
58697.35911440679	-43697.35911440679	-2.913157274293786	3	4
1526046.1877500392	51385.32861405941	0.04622113265622553	9	5
105985.67142679758	-40585.67142679758	-0.6205760157002688	3	4
194568.99756510524	-96488.38659740324	-1.2364252593690257	0	9
146339.7541435545	-36339.75414355451	-0.33036140130504105	4	3
94864.51435980877	-69864.51435980877	-2.794580574392351	1	7
2153012.829057686	46987.17094231397	0.021357804973779076	9	4
135888.3687608722	-37388.368760872196	-0.3795773478261137	3	3
54459.655514024445	-47659.655514024445	-7.008772869709477	3	4
167037.100167967	-35037.100167967	-0.265432577030053	4	3
54284.26294039759	-49984.26294039759	-11.6242471954413	3	5
121465.0924277488	-51465.092427748794	-0.735215606110697	3	5
236855.90932071416	-26855.909320714156	-0.12788528247959122	4	2
304759.40836353204	-54759.40836353204	-0.21903763345412816	2	5
79859.47472622844	-54859.474726228436	-2.1943789890491376	2	5
123496.42662209496	-48496.426622094965	-0.6466190216279328	3	5
55428.815814804766	-43428.815814804766	-3.6190679845670637	3	4
51520.86611674601	-50220.86611674601	-38.63143547442001	3	5
62659.662823136125	-42659.662823136125	-2.132983141156806	3	4
