prediction	error	relative_error	error_decile	abs_error_decile
146.30054899767637	49.09945100232363	0.2512766172073881	4	0
136.74180357136302	75.85819642863697	0.35681183644702247	4	0
98.12148209941473	-79.62148209941473	-4.3038638972656615	3	0
93.70301089712827	90.09698910287175	0.49019036508635333	4	0
79.2233060065211	-23.423306006521102	-0.4197725090774391	3	0
40.93458952488618	-3.934589524886178	-0.10634025742935616	3	0
40.4880405040771	0.011959495922901908	0.0002952961956272076	3	0
40.4880405040771	11.811959495922899	0.225850085964109	3	0
27.764881258578022	45.73511874142198	0.6222465134887344	4	0
25.73212071060034	4.667879289399657	0.15354866083551505	3	0
24.13955964086616	17.560440359133842	0.42111367767707053	4	0
24.13955964086616	-12.939559640866161	-1.155317825077336	3	0
22.954227457748527	-1.4542274577485266	-0.06763848640690821	3	0
21.712097388358384	6.787902611641616	0.23817202146110936	3	0
21.02402105077592	23.775978949224076	0.5307138158308946	4	0
19.034256768003615	17.565743231996386	0.47993833967203237	4	0
17.49320925963595	-2.6932092596359496	-0.18197359862405063	3	0
16.76558467998254	-27.86558467998254	2.5104130342326614	3	0
16.76558467998254	-1.2655846799825383	-0.08165062451500248	3	0
16.46295795570639	-8.06295795570639	-0.9598759471079035	3	0
16.183396825293745	7.416603174706257	0.31426284638585833	3	0
16.023469271821746	-15.023469271821746	-15.023469271821746	3	0
15.762901009437824	-9.662901009437824	-1.5840821326947254	3	0
15.762901009437824	10.137098990562174	0.391393783419389	3	0
15.762901009437824	-3.6629010094378245	-0.3027190916890764	3	0
15.672843572909564	-3.7728435729095633	-0.3170456783957616	3	0
15.672843572909564	-11.472843572909564	-2.731629422121325	3	0
15.672843572909564	-8.572843572909564	-1.207442756747826	3	0
15.254399209260107	-1.554399209260108	-0.11345979629635826	3	0
15.254399209260107	-0.35439920926010693	-0.02378518182953738	3	0
14.913923374273873	0.8860766257261279	0.05608079909659037	3	0
14.913923374273873	-4.613923374273872	-0.44795372565765745	3	0
14.913923374273873	-1.3139233742738732	-0.09661201281425538	3	0
14.913923374273873	-10.413923374273873	-2.314205194283083	3	0
14.913923374273873	-5.813923374273873	-0.6388926784916344	3	0
14.913923374273873	-3.813923374273873	-0.34359670038503365	3	0
14.913923374273873	-1.8139233742738732	-0.13846743315067733	3	0
14.913923374273873	-12.913923374273873	-6.456961687136936	3	0
14.913923374273873	-11.013923374273872	-2.82408291648048	3	0
14.913923374273873	-8.313923374273873	-1.2596853597384656	3	0
14.913923374273873	-2.313923374273873	-0.1836447122439582	3	0
14.913923374273873	-7.5139233742738725	-1.0153950505775502	3	0
14.913923374273873	0.28607662572612647	0.018820830639876742	3	0
14.913923374273873	-3.5139233742738725	-0.30823889248016423	3	0
14.913923374273873	-12.613923374273874	-5.484314510553858	3	0
14.913923374273873	-11.313923374273873	-3.1427564928538536	3	0
14.913923374273873	-10.913923374273873	-2.728480843568468	3	0
14.913923374273873	-11.013923374273872	-2.82408291648048	3	0
14.913923374273873	8.286076625726126	0.3571584752468158	3	0
14.913923374273873	-12.113923374273874	-4.326401205097812	3	0
